comment_id,status_id,parent_id,comment_message,comment_published,comment_likes
992560100892254_993318150816449,127857990695807_992560100892254,992560100892254_992707260877538,"Respectfully, at the rate the MPC is archiving experiences, I am not sure what will be left to offer your members if this continues. 

CaC was left to wither and die on the vine with Vol. 4. The Vault then disappeared, making the Omnibus sale of CaC rather pointless for those who wished to tackle the Vault after buying all three Volumes. The GDA has yet to be mentioned or promoted on the main site as a potential replacement. Tomb, Filigree, and Cult are now being discounted in addition to the 20% sale option sitewide. Common wisdom as well as past experience shows us what is likely to happen to those particular experiences next. 

King in Yellow and Demon Jar are archive-bound, while Risen!, Ceiba Tree/Werejaguar, and Century Beast have been discontinued/archived. By my math, that leaves Tempus, Weeping Book, John Augur, Cult, Tomb, and Filigree. 

The general consensus is that of dismay and disappointment amongst your diehard CaC and Experience fans on the Unofficial Forum. While your sales have spurred some frenzied impulse buying, some of the longest-known and active members are actively boycotting any further purchases. 

Communication and customer service has also fallen by the wayside. When there was once excellent communication and response times to inquiries, we now have multiple accounts of unanswered emails or long-delayed actions to fulfill orders. 

So, please allow me some well-deserved skepticism when your assurances of further life are betrayed by your past and current actions. 

It's what the MPC is doing, not what it is saying that breaks my heart. I have previously extolled the virtues of your company to my like-minded friends, and you have profited from their subsequent patronage. But now, I cannot in good conscience recommend your products, or your company, to anyone else for fear of a lackluster and unfulfilling experience. 

To be clear, I do hope you can turn this ship around...especially before you find there is no one left to follow you on your journey.",2018-03-21 00:39:04,4
992560100892254_993429580805306,127857990695807_992560100892254,992560100892254_992707260877538,Kelly Smith  The Vault is back.   It is just not easily accessible.   Pop over to the forum and look at the thread.  :),2018-03-21 06:35:48,0
992560100892254_993431354138462,127857990695807_992560100892254,992560100892254_992707260877538,"The Mysterious Package Company  When there is a serious lack of communication for a long period of time - it feeds rumors and conjecture.  I hope whatever is posted is clear, concise, direct and gives information about what is happening and where exactly the company is going.",2018-03-21 06:40:56,0
992560100892254_993450230803241,127857990695807_992560100892254,992560100892254_992707260877538,Kelly Smith you can add me to the list of customers who have had unanswered emails,2018-03-21 07:33:19,0
992560100892254_994129157402015,127857990695807_992560100892254,992560100892254_992707260877538,What happened to the announcement yesterday [[PHOTO]],2018-03-22 11:27:03,3
992560100892254_994173737397557,127857990695807_992560100892254,992560100892254_992707260877538,"The message was ""DELETE POST"".....excuse me, that should read ""ARCHIVE POST""",2018-03-22 13:31:45,1
992560100892254_997501977064733,127857990695807_992560100892254,992560100892254_992707260877538,Joseph Daniel I presume you had seen the message that was sent a day late!,2018-03-28 10:49:54,1
992560100892254_993193967495534,127857990695807_992560100892254,,I have a jar??,2018-03-20 19:58:11,0
992560100892254_993511334130464,127857990695807_992560100892254,,Might be a good time to change the name of your company. No one will want to open your boxes!!!,2018-03-21 09:26:40,0
976954855786112_977537279061203,127857990695807_976954855786112,,What if you've already gotten some of the experiences off of the surprise me. Is there a chance to get them again?,2018-02-21 11:52:53,0
976954855786112_978357978979133,127857990695807_976954855786112,976954855786112_977537279061203,You can send a message to our Member Services and they can help you ensure you don't' receive doubles!,2018-02-23 00:47:34,1
976954855786112_978359215645676,127857990695807_976954855786112,976954855786112_977537279061203,Yay! That's great!!,2018-02-23 00:51:33,0
976954855786112_978359245645673,127857990695807_976954855786112,976954855786112_977537279061203,Thanks!,2018-02-23 00:51:38,0
976954855786112_978963058918625,127857990695807_976954855786112,,"I keep trying to purchase The King in Yellow, but the price keeps changing in my cart, so I delete, and put it back in, and it adjusts again. lol what is the price for it? it was 99.",2018-02-23 22:58:33,0
974080699406861_978253198989611,127857990695807_974080699406861,,Can you message me on facebook...I need help logging on.,2018-02-22 20:22:01,0
973629339451997_973795389435392,127857990695807_973629339451997,,Giovannina Castaldo Iris Roman,2018-02-15 01:11:02,1
972409169574014_973483206133277,127857990695807_972409169574014,,Your website is down...any idea when it'll be back up?,2018-02-14 12:50:12,0
972409169574014_973826466098951,127857990695807_972409169574014,972409169574014_973483206133277,"If our site goes down it should bounce back almost immediately. It is, certainly, running now.",2018-02-15 02:50:21,0
971357643012500_971447919670139,127857990695807_971357643012500,,"Christopher, get me a damn mystery from The Mysterious Package Company or I'm going to go all Harold on you.",2018-02-10 21:04:24,0
971357643012500_971678916313706,127857990695807_971357643012500,971357643012500_971447919670139,I'm loving mine !!,2018-02-11 08:13:49,1
971357643012500_971773349637596,127857990695807_971357643012500,971357643012500_971447919670139,"Katie, I've followed their page for a long time and was instantly intrigued based on the comments alone.  Haha.  They're hilarious.  Plus, I love puzzles and mysteries.  Which one did you get?",2018-02-11 11:29:10,0
971357643012500_971953636286234,127857990695807_971357643012500,971357643012500_971447919670139,Halley August Valentine the yellow king,2018-02-11 19:21:50,0
971357643012500_971953702952894,127857990695807_971357643012500,971357643012500_971447919670139,Halley August Valentine  the yellow king,2018-02-11 19:22:05,0
971357643012500_971889872959277,127857990695807_971357643012500,,Elly 😂,2018-02-11 15:41:15,0
971357643012500_972181289596802,127857990695807_971357643012500,,"Hia - I placed an order at the end of Jan (curios back issues), and was looking to find out when I can expect to receive it (as there is no update on the webpage), and I've not had a response to the email query I sent on 5th Feb?",2018-02-12 06:58:06,0
971357643012500_972387099576221,127857990695807_971357643012500,971357643012500_972181289596802,I'm afraid that Member Services has been inundated iwth queries and requests which has led to longer wait times. I apologize for the inconvenience. If you would like to message here i can try to help out?,2018-02-12 14:43:29,0
971357643012500_978235348991396,127857990695807_971357643012500,,Sent an order for The King in Yellow on Jan. 26 and have not received shipment confirmation. Have tried to reach out through email and have also not had a response in nearly a week. Looking to make sure my order is being processed?,2018-02-22 19:25:46,0
971357643012500_978379545643643,127857990695807_971357643012500,971357643012500_978235348991396,"Orders are being processed, certainly. If you received a confirmation on the site that payment went through, we are putting the package together. We have never not sent something a member has ordered!",2018-02-23 01:51:13,0
970836266397971_970842583064006,127857990695807_970836266397971,,[[ANIMATED_IMAGE_SHARE]],2018-02-09 19:05:54,3
970836266397971_970916329723298,127857990695807_970836266397971,970836266397971_970842583064006,"I believe... this is the only acceptable response that is a direct reference to the... content of the... oh lord, what have I written!",2018-02-09 22:09:53,1
970836266397971_970954659719465,127857990695807_970836266397971,,"If  anyone has ever seen the movie The Game, this is as close as you can come.  It was the best gift I have ever given, and the best gift the recipient as ever received.",2018-02-10 00:27:50,1
970836266397971_971015979713333,127857990695807_970836266397971,,How soon after the deal is purchased to we have to use it? Can I go ahead and buy one now with the sale and actually have the items begin being sent in April? Thank you!,2018-02-10 03:23:38,0
970836266397971_971236973024567,127857990695807_970836266397971,970836266397971_971015979713333,"That should not be a problem. If you would like them to begin in April, be sure to contact Member Services right after ordering at concierge@mysteriouspackage.com, make it clear in the subject line that there is an urgent request for a delay in shipment, and let people know the window you are thinking. Please note: we can't guarantee that we will hit a specific date, let alone the 'day or two before.' Think of us as a catapult instead of a bow and arrow... we lob it in the direction it is supposed to go, and it always lands in that vicinity, but it might be three days off, or it might be the precise day you wanted. It depends on the wind, the person in charge of catapult maintenance, and how many mirrors we've broken in our lifetime.",2018-02-10 11:42:49,1
970836266397971_971238689691062,127857990695807_970836266397971,970836266397971_971015979713333,The Mysterious Package Company really appreciate it!!!,2018-02-10 11:45:36,0
970836266397971_971512302997034,127857990695807_970836266397971,970836266397971_971015979713333,"Christina Beasley you'll love it.  I just had one sent to my brother.  6 mailings for 199.99.  My sister loved the one I had sent to her.  It freaked her out, and that's what I was looking for.",2018-02-10 23:56:16,0
970836266397971_971629372985327,127857990695807_970836266397971,,Best most interesting gift I've ever received. As a lover of ancient Egypt I am thoroughly enjoying the Tomb package.  And I love the cheeky comments The Mysterious Package Company makes. :-).,2018-02-11 05:49:27,0
970784229736508_971765739638357,127857990695807_970784229736508,,"Oh Lordy.  On January 30th, I emailed customer service with two questions. On February 6th, I still hadn't heard back from customer service, so I sent a follow up email.   I got a polite email from Josephine apologizing for the delay - but she only answered one of my two questions I asked.

I then replied again, repeating a question from my first email.  Still haven't heard back. 

I am very understanding of small companies and startups, and realize that you don't have a huge staff that can provide service the way a big company can.  But at this point it's been 14 days and I still haven't had my question answered. 

I worry that actually buying a service and encountering a problem would yield this kind of delay from customer service, too.",2018-02-11 11:14:12,0
970784229736508_971770292971235,127857990695807_970784229736508,970784229736508_971765739638357,"Might I suggest sending a message here on Facebook?? As for your concerns, Member Services and our Shipping and Fulfillment department work closely to help resolve issues, but are two completely different departments. Support has been inundated with requests and questions ad a level far higher than we could anticipate. Orders are increased but nowhere near the levels Shipping handles during the holidays, so they can handle the shipment no problem. If you did run into an issue with an Experience ""this week"" then yes... I could foresee a delay. But our concierges are working very hard to make up the gap and get back on track! But yes, if there are pressing matters, I may be able to help.",2018-02-11 11:22:01,0
970784229736508_971835626298035,127857990695807_970784229736508,970784229736508_971765739638357,great!  Do you have access to the emails I sent or should I copy paste them and then message you?,2018-02-11 13:24:20,0
970784229736508_972892319525699,127857990695807_970784229736508,970784229736508_971765739638357,I tried sending them a FB message and just got an autoreply that said to email concierge.  It's been a week since I sent out an email to concierge and haven't heard back.  I'd love to take advantage of their sales.  I want two more experiences but I'm not going to do that until I hear from someone about the order I already placed.,2018-02-13 13:01:55,1
970784229736508_972894146192183,127857990695807_970784229736508,970784229736508_971765739638357,"Missy Munrow yep, I'm still waiting on them too.  It's been over two weeks now.  They didn't even follow up after this message.  Not even an apology.  

This really is perplexing and disappointing.",2018-02-13 13:07:18,1
970784229736508_972995439515387,127857990695807_970784229736508,970784229736508_971765739638357,"I apologize, Syamala! As you can well imagine, I'm trying to talk with as many people as possible. It was my mistake, I should ahve been more clear or followed up to check in. I will send you a message here on Facebook right now so we can discuss matters. We can't really do so here in comments as I may need your email or other information you may wish to keep off the posts! Please keep an eye out of rmy message.",2018-02-13 17:27:58,2
970784229736508_973039216177676,127857990695807_970784229736508,970784229736508_971765739638357,"The Mysterious Package Company Sounda good!  I replied via messenger!  

Hopefully there are still some WereJaguars left!",2018-02-13 19:37:53,0
970784229736508_982648718550059,127857990695807_970784229736508,970784229736508_971765739638357,I had a terrible experience with both the contents of my package and the customer service!  Not a very reliable company.  😞,2018-03-02 10:15:58,1
970784229736508_982691838545747,127857990695807_970784229736508,970784229736508_971765739638357,Danielle Bierlein yeah actually even after I messaged them they waited several days before responding - only to tell me the experience was sold out. Overall it took weeks to get a response. Kind of unbelievable what bad service it was.,2018-03-02 11:54:23,0
969455773202687_969705916511006,127857990695807_969455773202687,,I wish I could buy an experience. The website won't let me sign in,2018-02-07 17:03:44,0
969455773202687_970124856469112,127857990695807_969455773202687,969455773202687_969705916511006,Have you signed in since mid January? If not you may need to refresh your password since we updated our site with new security measures. Try going here: https://mysteriouspackage.com/pages/account-refresh [[SHARE]],2018-02-08 13:36:46,0
969455773202687_970228119792119,127857990695807_969455773202687,969455773202687_969705916511006,Thanks!  Tried before but it finally worked.,2018-02-08 17:46:29,0
969455773202687_970676476413950,127857990695807_969455773202687,,Please respond to my email.,2018-02-09 11:31:18,0
968624369952494_968625113285753,127857990695807_968624369952494,,"Hmm, this seems like an interesting mystery. I so loved the previous one I received as a birthday gift.",2018-02-05 15:11:22,0
966469900167941_966543096827288,127857990695807_966469900167941,,James Graham check this,2018-02-01 23:59:01,0
966434230171508_966436210171310,127857990695807_966434230171508,,It,2018-02-01 18:07:27,3
966434230171508_966449276836670,127857990695807_966434230171508,,Is bears? Or is tardigrades?,2018-02-01 18:49:15,0
966434230171508_966452653502999,127857990695807_966434230171508,,"Getting killed over here, MPC. :'(",2018-02-01 18:54:27,0
966434230171508_966527580162173,127857990695807_966434230171508,,"You twits, there must be a reason they intentionally said is instead of it. Find the hidden meaning",2018-02-01 22:56:39,0
966434230171508_966810046800593,127857990695807_966434230171508,,"oh no
I know you guys probably respond to tickets in the order they're received, but my first package is shipping next Tuesday, and the apartment number is missing from the shipping address!

Is there any way I can get this expedited? So sorry I'm an idiot. I'm pretty sure I checked ""same as billing address"" when filling out the form, but I know I didn't double-check it.",2018-02-02 10:36:40,0
961321110682820_961373174010947,127857990695807_961321110682820,,Tonya Jean We need to do this 🤩,2018-01-23 12:28:10,0
961321110682820_961374794010785,127857990695807_961321110682820,961321110682820_961373174010947,Yes!!!,2018-01-23 12:32:46,1
961321110682820_961413650673566,127857990695807_961321110682820,,Cleaning house?,2018-01-23 14:36:05,0
961321110682820_961437674004497,127857990695807_961321110682820,961321110682820_961413650673566,"No no, it's still quite filthy around here.",2018-01-23 15:30:08,5
961321110682820_965997403548524,127857990695807_961321110682820,961321110682820_961413650673566,In more ways than one from what I hear...,2018-01-31 22:43:48,0
961321110682820_961466287334969,127857990695807_961321110682820,,Aaaayyyyyy! We love sales! Thank you Curator!,2018-01-23 16:52:46,1
961321110682820_961481620666769,127857990695807_961321110682820,,Soooo.... where do i click to start?,2018-01-23 17:24:01,0
961321110682820_966128040202127,127857990695807_961321110682820,961321110682820_961481620666769,HERE: https://www.mysteriouspackage.com [[SHARE]],2018-02-01 05:48:36,0
961321110682820_961535620661369,127857990695807_961321110682820,,For how long?!?!!!!!!!!,2018-01-23 20:00:02,3
961321110682820_961537280661203,127857990695807_961321110682820,,Just ordered my 4th experience! And I'm as confused as ever... is it the air in the jar? The sand in the gears? Or perhaps some time interloper getting into my head.......,2018-01-23 20:05:20,0
961321110682820_961726877308910,127857990695807_961321110682820,961321110682820_961537280661203,"HAH HAH, LInda... we banished all Time Interlopers to a far off place where they cannot be any trouble to you or I: New Hope, P... oh... oh, I will have our Blood Nurses handle this as soon as possible. The interlopers should be gone by the weekend. Now, if you'll excuse me, I have some whispering to do to myself over here...

... how did upper management think that New Hope was a ""far off place""?? Don't they research and find a place for these interlopers where, I don't know, there are NO MEMBERS? Far off place... oh, I got an idea, let's send a chronological danger to Penn's Woods... which is what they'd probably call it... 

... oh, yeah. I'm on Facebook. So I'm typing, not whispering. Ummm... if I just hit  ""Delete"", here designed as a small half-sized button located precariously beside an elevated, rounded, cartoonishly-large and trigger-happy 'Enter' button, I'll be just fine, no one will be any the wiser. Just have to hit Delete right here, which I'm going to do in three... two... one...",2018-01-24 04:59:41,1
961321110682820_961802407301357,127857990695807_961321110682820,961321110682820_961537280661203,[[ANIMATED_IMAGE_SHARE]],2018-01-24 08:10:26,1
961321110682820_961578397323758,127857990695807_961321110682820,,Possibly the best gift I ever gave. The recipient had a lot of fun with it. Had them quite perplexed and immersed in a lot sorts of research for a good while.,2018-01-23 21:52:03,1
961321110682820_961591927322405,127857990695807_961321110682820,,My account JUST dissappeared. :-(,2018-01-23 22:27:32,0
961321110682820_961994560615475,127857990695807_961321110682820,,For how long?,2018-01-24 15:12:33,1
961321110682820_962055843942680,127857990695807_961321110682820,,How long will the sale last?? I just need to make it to payday this Friday!,2018-01-24 17:56:11,2
961321110682820_965824133565851,127857990695807_961321110682820,,HI... will you mail to an APO address in Abu Dabi,2018-01-31 13:26:05,0
961321110682820_965841940230737,127857990695807_961321110682820,961321110682820_965824133565851,"We have found through experience that APOs are generally not... welcoming of our products. Some have had no problems. Overall, we have more  disappear or mailed back from APO addresses than anywhere else. We recommend if there is a friend who can receive it for the recipient to try that approach, though understand that is problematic or most people. I hope this helps!",2018-01-31 14:18:58,0
961321110682820_965882796893318,127857990695807_961321110682820,961321110682820_965824133565851,Yes this is helpful.  thank you very much for being upfront with this information. I appreciate it.,2018-01-31 16:32:37,1
961321110682820_966124373535827,127857990695807_961321110682820,961321110682820_965824133565851,"Jo: My pleasure... though, please don't spread around that I was helpful. I have a reputation to keep up aroujnd here as the lovable P.I.T.A. if you get my drift...",2018-02-01 05:38:13,0
961321110682820_966205216861076,127857990695807_961321110682820,961321110682820_965824133565851,I will keep you a secret ...  so your bark is worse than your bite!!,2018-02-01 08:39:44,0
961321110682820_966223850192546,127857990695807_961321110682820,961321110682820_965824133565851,...thank you... AND THAT'S WHY you are such... A SILLYHEAD! ... I should have planned that better... I am not helping my case... not in the least...,2018-02-01 09:24:09,0
946091912205740_946156682199263,127857990695807_946091912205740,,Fool me once.,2017-12-25 23:02:07,0
946091912205740_946960888785509,127857990695807_946091912205740,946091912205740_946156682199263,... are you... are you asking me to do this? To fool you once? I don't know if I have the energy to fool anyone once!!!,2017-12-27 15:49:50,1
946091912205740_947044678777130,127857990695807_946091912205740,946091912205740_946156682199263,So twice is out of the question?,2017-12-27 20:00:27,0
946091912205740_946750108806587,127857990695807_946091912205740,,Craig Dickinson that's for you,2017-12-27 06:53:29,0
946091912205740_946814765466788,127857990695807_946091912205740,,"Dakota Day, this is the one I was thinking of, when we were talking about it",2017-12-27 09:27:02,0
946091912205740_946815692133362,127857990695807_946091912205740,946091912205740_946814765466788,I couldn't remember which one we were talking about!,2017-12-27 09:29:27,0
946091912205740_946818438799754,127857990695807_946091912205740,946091912205740_946814765466788,We should have it delivered to work 😂😂😂,2017-12-27 09:32:04,0
946091912205740_946818632133068,127857990695807_946091912205740,946091912205740_946814765466788,Yessssss!!! That's brilliant!,2017-12-27 09:32:31,0
946091912205740_947344172080514,127857990695807_946091912205740,,"Do you have a 'contact us' page or an email address or something at all? I'd like to ask you about something but... well... I'm clearly not smart enough for your packages, since I can't find the contact us page on your website...",2017-12-28 10:23:13,0
946091912205740_951838274964437,127857990695807_946091912205740,,So pricy can you just send one for me...my mom would love this and would be stumped...i would die with laughter.,2018-01-05 16:46:25,0
946091912205740_951957154952549,127857990695807_946091912205740,,"Derek Staruiala Emma Norman Jennifer Hirschmueller 

These are the guys I told you about....as I said: very intrigued...",2018-01-05 22:33:46,0
946091912205740_954103288071269,127857990695807_946091912205740,,Benjamin,2018-01-09 23:06:08,0
946091912205740_954109611403970,127857990695807_946091912205740,946091912205740_954103288071269,yes,2018-01-09 23:29:42,0
946091912205740_954110818070516,127857990695807_946091912205740,946091912205740_954103288071269,then it was Susie,2018-01-09 23:32:03,0
946091912205740_954111654737099,127857990695807_946091912205740,946091912205740_954103288071269,"Hahaha. How long can I take credit for it, Benjamin?",2018-01-09 23:34:13,1
946091912205740_960963257385272,127857990695807_946091912205740,,"DON'T FALL FOR THIS. IT'S A SCAM. THEY'VE COME UP WITH SOME BS STORY ABOUT ""UPDATING SECURITY"" BUT HAVE ONLY LOCKED OUT USERS AFTER THEY PAY FOR ONE OF THEIR POS ""CURIOSITIES' CANCELLING MY CREDIT CARD AND CALLING THE FRAUD SQUAD.",2018-01-22 21:23:33,0
946091912205740_961316150683316,127857990695807_946091912205740,946091912205740_960963257385272,"We... are very confused by your statement. We have some kind of... process of waiting for individual people to order something, and then we lock the paying customer out so they can't buy anymore? That's a horrible business model, even for a scam! 

If you are having trouble logging into your account, contact Member Services at concierge@mysteriouspackage.com and a concierge will be more than happy to help you out. Otherwise... ummm... no, we aren't doing the things you say we're doing. We just updated our website is all.",2018-01-23 10:46:51,2
946091912205740_961582643990000,127857990695807_946091912205740,946091912205740_960963257385272,"Your server doesn't exist. I never received anything After I paid. Definition of scam. Love social media though, I've put out a warning to avoid your crap. ""Updated your website"" Really?",2018-01-23 22:00:10,0
946091912205740_961583713989893,127857990695807_946091912205740,946091912205740_960963257385272,And you're right. Theft and fraud are Lousy business models.,2018-01-23 22:02:06,0
946091912205740_961587773989487,127857990695807_946091912205740,946091912205740_960963257385272,"You sent me an email to ""update"" my account.. The link went to ""server not found"". I went to log on to my account. Got Another link to ""update"" my account. Message ""sending an email to confirm"". Nothing. Three days, Nothing. Before you ran off with my money my account said that two of the items had been sent. My credit card was billed, so you got my money. But nothing ever arrived. You fill in the blanks and tell me what you come up with.",2018-01-23 22:16:14,0
